almacen,cantidad,clase,cod_item,departamento,dolares_abono,dolares_cargo,dolares_saldo,empresa,estado_orden,estado_pago,facturas_vinculadas,fecha_transaccion,glosa,id_transaccion,item,linea_negocio,moneda,razon_social,soles_abono,soles_cargo,soles_saldo,unidad_medida,voucher_contable,actividad,macropartida,partida_presupuestaria,proyecto
PA ALMACEN GENERAL,6,GERENCIA PACKING,888,CO-ADMINISTRACION PACKING,0,28.7,28.7,ALZA PERU PACKING SAC,Pendiente Recepción,Sin Factura,,10/04/2026,TUBO PVC DESAGUE 2 X 3 M,91568,"TUBO PVC DESAGUE 2"" x 3 MTS",FORMATOS VARIOS,Soles,20103365628 - DISTRIBUCIONES OLANO S.A.C.,0,97.2,97.2,UNIDAD,OC- 4400002053,O0107-30037-30031-OTROS GASTOS ADM,O0107-REMUNERACIONES ADM,O0107-30037-REMUNERACIONES ADM + OTROS GASTOS,
PA ALMACEN GENERAL,40,GERENCIA PACKING,877,CO-ADMINISTRACION PACKING,0,611.63,611.63,ALZA PERU PACKING SAC,Pendiente Recepción,Sin Factura,,10/04/2026,TUBO PVC DESAGUE 4 X 3 M,91568,"TUBO PVC DESAGUE 4"" X 3M",FORMATOS VARIOS,Soles,20103365628 - DISTRIBUCIONES OLANO S.A.C.,0,2071.6,2071.6,UNIDAD,OC- 4400002053,O0107-30037-30031-OTROS GASTOS ADM,O0107-REMUNERACIONES ADM,O0107-30037-REMUNERACIONES ADM + OTROS GASTOS,
PA ALMACEN GENERAL,14,GERENCIA PACKING,10162,CO-ADMINISTRACION PACKING,0,142.27,142.27,ALZA PERU PACKING SAC,Pendiente Recepción,Sin Factura,,10/04/2026,TUBO PVC DESAGUE 3 X 3 M,91568,"TUBO PVC DESAGUE 3"" x 3 MTS",FORMATOS VARIOS,Soles,20103365628 - DISTRIBUCIONES OLANO S.A.C.,0,481.88,481.88,UNIDAD,OC- 4400002053,O0107-30037-30031-OTROS GASTOS ADM,O0107-REMUNERACIONES ADM,O0107-30037-REMUNERACIONES ADM + OTROS GASTOS,
PA ALMACEN GENERAL,3,OPERACIONES PACKING,882,CO-MANTENIMIENTO PACKING,0,15.27,15.27,ALZA PERU PACKING SAC,Totalmente Facturada,Pendiente de Pago,F001-00036275,21/05/2026,REUBICAR TABLEROS DE LINEAS MANUALES,144638,"TUBO PVC 1 1/2"" PN-7.5",FORMATOS VARIOS,Soles,INNOVACIONES TECNOLOGICAS AGRICOLAS Y FORESTALES S.A.C.-ITAGRIF S.A.C.,0,52.12,52.12,UNIDAD,OC- 4400002976,C5002-20003-20019-MEJORA INFRAESTRUCTURA MANTENIMIENTO,C5002-MEJORAS EN INFRAESTRUCTURA,C5002-20003-MEJORAS EN INFRAESTRUCTURA,
PA ALMACEN GENERAL,8,OPERACIONES PACKING,856,CO-MANTENIMIENTO PACKING,0,2.98,2.98,ALZA PERU PACKING SAC,Totalmente Facturada,Pendiente de Pago,F001-00036274,21/05/2026,"CODO PVC 1/2"" X 90 C-10",144642,"CODO PVC 1/2"" X 90 C-10",FORMATOS VARIOS,Soles,INNOVACIONES TECNOLOGICAS AGRICOLAS Y FORESTALES S.A.C.-ITAGRIF S.A.C.,0,10.17,10.17,UNIDAD,OC- 4400002980,C5002-20003-20022-MEJORA INFRAESTRUCTURA COMEDOR,C5002-MEJORAS EN INFRAESTRUCTURA,C5002-20003-MEJORAS EN INFRAESTRUCTURA,
PA ALMACEN GENERAL,1,OPERACIONES PACKING,875,CO-MANTENIMIENTO PACKING,0,3.97,3.97,ALZA PERU PACKING SAC,Totalmente Facturada,Pendiente de Pago,F001-00036274,21/05/2026,"TUBO PVC AGUA PN-10 1"" X 5 M",144642,"TUBO PVC AGUA PN-10 1"" X 5 M",FORMATOS VARIOS,Soles,INNOVACIONES TECNOLOGICAS AGRICOLAS Y FORESTALES S.A.C.-ITAGRIF S.A.C.,0,13.56,13.56,UNIDAD,OC- 4400002980,C5002-20003-20022-MEJORA INFRAESTRUCTURA COMEDOR,C5002-MEJORAS EN INFRAESTRUCTURA,C5002-20003-MEJORAS EN INFRAESTRUCTURA,
PA ALMACEN GENERAL,3,OPERACIONES PACKING,6818,CO-MANTENIMIENTO PACKING,0,2.09,2.09,ALZA PERU PACKING SAC,Totalmente Facturada,Pendiente de Pago,F001-00036274,21/05/2026,"CODO PVC 1"" X 90 SP",144642,"CODO PVC 1"" X 90 SP",FORMATOS VARIOS,Soles,INNOVACIONES TECNOLOGICAS AGRICOLAS Y FORESTALES S.A.C.-ITAGRIF S.A.C.,0,7.12,7.12,UNIDAD,OC- 4400002980,C5002-20003-20022-MEJORA INFRAESTRUCTURA COMEDOR,C5002-MEJORAS EN INFRAESTRUCTURA,C5002-20003-MEJORAS EN INFRAESTRUCTURA,
PA ALMACEN GENERAL,6,OPERACIONES PACKING,14987,CO-MANTENIMIENTO PACKING,0,42.83,42.83,ALZA PERU PACKING SAC,Pendiente Recepción,Sin Factura,,21/05/2026,RACOR RAPIDO UNION SIMPLE REDUCCION 10 - 12 MM,145885,RACOR RAPIDO UNION SIMPLE REDUCCION 10 - 12 MM,FORMATOS VARIOS,Soles,20268214527 - SIGELEC S.A.C.,0,146.23,146.23,UNIDAD,OC- 4400003021,O0105-30020-30015-MANTENIMINENTO DE MAQUINARIA Y VEHICULOS,O0105-OTROS COSTOS,O0105-30020-MANTENIMINENTO DE MAQUINARIA Y VEHICULOS,
PA ALMACEN GENERAL,10,OPERACIONES PACKING,15477,CO-MANTENIMIENTO PACKING,0,15.01,15.01,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,21/05/2026,CANALETA CON ADHESIVO BLANCA PVC 39 MM X 19 MM X 2 M,154402,CANALETA CON ADHESIVO BLANCA PVC 39 MM X 19 MM X 2 M,FORMATOS VARIOS,Soles,20111740438 - SONEPAR PERU S.A.C.,0,51.24,51.24,UNIDAD,OC- 4400003142,O0105-30019-30014-MANTENIMIENTO DE SISTEMA ELECTRICO,O0105-OTROS COSTOS,O0105-30019-MANTENIMIENTO DE SISTEMA ELECTRICO,
PA ALMACEN GENERAL,6,OPERACIONES PACKING,15480,CO-MANTENIMIENTO PACKING,0,5.07,5.07,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,21/05/2026,"CONECTOR RECTO CONDUIT HERMETICO LIQUID TIGHT 1""",154402,"CONECTOR RECTO CONDUIT HERMETICO LIQUID TIGHT 1""",FORMATOS VARIOS,Soles,20111740438 - SONEPAR PERU S.A.C.,0,17.3,17.3,UNIDAD,OC- 4400003142,O0105-30019-30014-MANTENIMIENTO DE SISTEMA ELECTRICO,O0105-OTROS COSTOS,O0105-30019-MANTENIMIENTO DE SISTEMA ELECTRICO,
PA ALMACEN GENERAL,6,OPERACIONES PACKING,15481,CO-MANTENIMIENTO PACKING,0,10.95,10.95,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,21/05/2026,"CONECTOR RECTO CONDUIT HERMETICO LIQUID TIGHT 1.1/2""",154402,"CONECTOR RECTO CONDUIT HERMETICO LIQUID TIGHT 1.1/2""",FORMATOS VARIOS,Soles,20111740438 - SONEPAR PERU S.A.C.,0,37.37,37.37,UNIDAD,OC- 4400003142,O0105-30019-30014-MANTENIMIENTO DE SISTEMA ELECTRICO,O0105-OTROS COSTOS,O0105-30019-MANTENIMIENTO DE SISTEMA ELECTRICO,
,1,OPERACIONES PACKING,4082,SSOMA PACKING,0,781,781,ALZA PERU PACKING SAC,Pendiente Recepción,Pagada Totalmente,E001-00000170,20/01/2026,SEPARADOR DE ESTRUCTURA METALICA CON MALLA OLIMPICA DE 50X50 10X2M,90565,SEPARADOR DE ESTRUCTURA METALICA CON MALLA OLIMPICA DE 50X50 10X2M,FORMATOS VARIOS,US Dollar,10721302054 - FELIPE CABEZA,0,2628.85,2628.85,UNIDAD,OS - 4500002685,O0105-30018-30013-MANTENIMIENTO DE PLANTA,O0105-OTROS COSTOS,O0105-30018-MANTENIMIENTO DE PLANTA,
PA ALMACEN GENERAL,2,OPERACIONES PACKING,893,CO-MANTENIMIENTO PACKING,0,12.22,12.22,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,E001-00000175,26/02/2026,#N/D,72971,"PLATINA DE FE` DE 1"" X 1/8""",FORMATOS VARIOS,Soles,10721302054 - FELIPE CABEZA,0,41.1,41.1,UNIDAD,OC- 4400001779,O0105-30018-30013-MANTENIMIENTO DE PLANTA,O0105-OTROS COSTOS,O0105-30018-MANTENIMIENTO DE PLANTA,
PA ALMACEN GENERAL,1,OPERACIONES PACKING,5495,CO-MANTENIMIENTO PACKING,0,29.01,29.01,ALZA PERU PACKING SAC,Totalmente Facturada,Pagada Totalmente,E001-00000175,26/02/2026,"TUBO CUADRADO 2""X2""X2.5MMX 6MTS",72971,"TUBO CUADRADO 2""X2""X2.5MMX 6MTS",FORMATOS VARIOS,Soles,10721302054 - FELIPE CABEZA,0,97.56,97.56,UNIDAD,OC- 4400001779,O0105-30018-30013-MANTENIMIENTO DE PLANTA,O0105-OTROS COSTOS,O0105-30018-MANTENIMIENTO DE PLANTA,
PA ALMACEN GENERAL,2,OPERACIONES PACKING,8763,CO-MANTENIMIENTO PACKING,0,42.55,42.55,ALZA PERU PACKING SAC,Pendiente de Facturar,Sin Factura,,06/05/2026,"TUBO CUADRADO DE ACERO LAC X 2.0 MM X 6 MT. (3"" X 2"")",125330,"TUBO CUADRADO DE ACERO LAC X 2.0 MM X 6 MT. (3"" X 2"")",FORMATOS VARIOS,Soles,20608931156 - 3AAMSEQ S.A.,0,148.85,148.85,UNIDAD,OC- 4400002630,C5002-20003-20019-MEJORA INFRAESTRUCTURA MANTENIMIENTO,C5002-MEJORAS EN INFRAESTRUCTURA,C5002-20003-MEJORAS EN INFRAESTRUCTURA,
